HealthSnap 3-year monthly financial model (BASE case). All Rs. FX Rs95/$.
Assumptions:,ARPU Rs144 gross,churn 6%/mo,AI Rs15.0/paid +Rs2.5/free user,"CAC [200, 300, 350]",free:paid 6.0,GST 18% from M13

Month,Gross adds,Churned,Paying subs (EOM),Free users,Gross revenue,GST,Net revenue,AI cost,Payment fees,VAPI,Infra,Marketing,People,One-time,Total cost,EBITDA,Cumulative EBITDA
1,25,0,25,150,3596,0,3596,750,85,94,11000,5000,15000,0,31929,-28332,-28332
2,40,2,64,381,9135,0,9135,1905,216,238,11000,8000,15000,0,36359,-27224,-55556
3,55,4,115,688,16499,0,16499,3441,389,430,11000,11000,15000,0,41260,-24762,-80318
4,60,7,168,1007,24140,0,24140,5034,570,629,11000,12000,15000,0,44233,-20093,-100411
5,82,10,240,1438,34488,0,34488,7192,814,899,11000,16400,15000,0,51305,-16818,-117229
6,104,14,329,1976,47379,0,47379,9881,1118,1235,11000,20800,15000,0,59034,-11655,-128884
7,126,20,436,2614,62662,0,62662,13068,1479,1633,11000,25200,15000,0,67380,-4718,-133602
8,148,26,557,3345,80193,0,80193,16724,1893,2090,11000,29600,15000,0,76307,3886,-129716
9,170,33,694,4164,99836,0,99836,20820,2356,2603,11000,34000,15000,0,85779,14057,-115659
10,192,42,844,5066,121466,0,121466,25331,2867,3166,11000,38400,15000,0,95764,25702,-89957
11,214,51,1008,6046,144963,0,144963,30231,3421,3779,11000,42800,15000,0,106231,38731,-51226
12,236,60,1183,7099,170214,0,170214,35497,4017,4437,11000,47200,15000,0,117152,53063,1837
13,260,71,1372,8234,197403,30112,167291,41168,4659,5146,22000,78000,60000,250000,460972,-293681,-291844
14,290,82,1580,9479,227277,34669,192607,47397,5364,5925,22000,87000,60000,0,227686,-35078,-326923
15,320,95,1805,10831,259673,39611,220062,54154,6128,6769,22000,96000,60000,0,245051,-24989,-351912
16,350,108,2047,12281,294442,44915,249527,61404,6949,7676,22000,105000,60000,0,263029,-13502,-365413
17,380,123,2304,13824,331440,50559,280881,69120,7822,8640,22000,114000,60000,0,281582,-701,-366114
18,410,138,2576,15455,370533,56522,314011,77273,8745,9659,22000,123000,60000,0,300677,13335,-352780
19,440,155,2861,17167,411597,62786,348811,85837,9714,10730,22000,132000,60000,0,320280,28531,-324249
20,470,172,3160,18957,454512,69332,385180,94786,10726,11848,22000,141000,60000,0,340361,44819,-279430
21,500,190,3470,20820,499169,76144,423024,104099,11780,13012,22000,150000,60000,0,360892,62132,-217297
22,530,208,3792,22751,545461,83206,462255,113753,12873,14219,22000,159000,60000,0,381845,80410,-136888
23,560,228,4124,24746,593291,90502,502789,123728,14002,15466,22000,168000,60000,0,403196,99594,-37294
24,590,247,4467,26801,642568,98019,544549,134004,15165,16751,22000,177000,60000,0,424920,119629,82335
25,620,268,4819,28913,693203,105743,587460,144564,16360,18071,40000,217000,150000,0,585994,1466,83801
26,665,289,5195,31168,747273,113991,633283,155840,17636,19480,40000,232750,150000,0,615706,17577,101378
27,710,312,5593,33558,804573,122732,681842,167790,18988,20974,40000,248500,150000,0,646251,35590,136968
28,755,336,6012,36074,864908,131935,732973,180372,20412,22547,40000,264250,150000,0,677581,55392,192361
29,800,361,6452,38710,928097,141574,786523,193550,21903,24194,40000,280000,150000,0,709647,76876,269237
30,845,387,6910,41457,993968,151622,842345,207287,23458,25911,40000,295750,150000,0,742406,99940,369176
31,890,415,7385,44310,1062359,162055,900304,221550,25072,27694,40000,311500,150000,0,775815,124489,493665
32,935,443,7877,47261,1133121,172849,960272,236307,26742,29538,40000,327250,150000,0,809837,150435,644101
33,980,473,8384,50306,1206110,183983,1022127,251528,28464,31441,40000,343000,150000,0,844434,177694,821794
34,1025,503,8906,53437,1281194,195436,1085758,267187,30236,33398,40000,358750,150000,0,879571,206186,1027981
35,1070,534,9442,56651,1358246,207190,1151056,283256,32055,35407,40000,374500,150000,0,915217,235839,1263819
36,1115,567,9990,59942,1437148,219226,1217922,299710,33917,37464,40000,390250,150000,0,951341,266581,1530401
