Date,Value Date,Bank Account,Narration,Party Name,Mode,Reference No,Type,Debit,Credit,Balance,Auto Tag,Inter-Bank Excluded?,Source Email Date,Processed On
2026-06-13,2026-06-13,ICICI 039951000005,EZY/ICICIPOS_SET_10XX243944_130626,POS Settlement,POS,S94023670,RECEIPT,,13986.70,,Client Receipt,NO,2026-06-16,2026-06-16
2026-06-13,2026-06-13,ICICI 039951000005,NEFT-IN22616425118334-NEOVENT ENTERTAINMENT LLP-NEOVENT ENTERTAINMEN-0104SLNEFTPL-ICIC0099999,NEOVENT ENTERTAINMENT LLP,NEFT,S96809983,RECEIPT,,19459.00,,Client Receipt,NO,2026-06-16,2026-06-16
2026-06-13,2026-06-13,ICICI 039951000005,CMS/001955632440/950163597,,CMS,S98403656,PAYMENT,7.00,,,CMS Settlement / Review Required,NO,2026-06-16,2026-06-16
2026-06-13,2026-06-13,ICICI 039951000005,CMS/001955636300/950103733,,CMS,S98407521,PAYMENT,177.00,,,CMS Settlement / Review Required,NO,2026-06-16,2026-06-16
2026-06-13,2026-06-13,ICICI 039951000005,CMS/001955636301/950073107,,CMS,S98409071,PAYMENT,12740.00,,,CMS Settlement / Review Required,NO,2026-06-16,2026-06-16
2026-06-14,2026-06-14,ICICI 039951000005,EZY/ICICIPOS_SET_10XX435391_140626,POS Settlement,POS,S99700885,RECEIPT,,4390.00,,Client Receipt,NO,2026-06-16,2026-06-16
2026-06-14,2026-06-14,ICICI 039951000005,EZY/ICICIPOS_SET_10XX243944_140626,POS Settlement,POS,S99724225,RECEIPT,,9738.39,,Client Receipt,NO,2026-06-16,2026-06-16
2026-06-14,2026-06-14,ICICI 039951000005,CMS/ CMS5718938539/BINARY SEMANTICS LTD,BINARY SEMANTICS LTD,CMS,S99847662,RECEIPT,,138087.00,,CMS Collection,NO,2026-06-16,2026-06-16
2026-06-14,2026-06-14,ICICI 039951000005,CMS/ CMS5718939226/BINARY SEMANTICS LTD,BINARY SEMANTICS LTD,CMS,S99847668,RECEIPT,,148174.00,,CMS Collection,NO,2026-06-16,2026-06-16
2026-06-15,2026-06-15,ICICI 039951000005,CMS/001955788924/949865535,,CMS,S1883523,PAYMENT,37124.00,,,CMS Settlement / Review Required,NO,2026-06-16,2026-06-16
2026-06-15,2026-06-15,ICICI 039951000005,CMS/001955788928/949898735,,CMS,S1883524,PAYMENT,884.00,,,CMS Settlement / Review Required,NO,2026-06-16,2026-06-16
2026-06-15,2026-06-15,ICICI 039951000005,CMS/001955788933/949935515,,CMS,S1883573,PAYMENT,9937.00,,,CMS Settlement / Review Required,NO,2026-06-16,2026-06-16
2026-06-15,2026-06-15,ICICI 039951000005,CMS/001955788921/949858365,,CMS,S4507842,PAYMENT,50946.00,,,CMS Settlement / Review Required,NO,2026-06-16,2026-06-16
2026-06-15,2026-06-15,ICICI 039951000005,CMS/001955788931/949935475,,CMS,S4507846,PAYMENT,1548.00,,,CMS Settlement / Review Required,NO,2026-06-16,2026-06-16
2026-06-15,2026-06-15,ICICI 039951000005,CMS/001955788926/949898727,,CMS,S1883531,PAYMENT,25219.00,,,CMS Settlement / Review Required,NO,2026-06-16,2026-06-16
