Month,Revised Gross (corrected),Sum of Named Deductions,Other Deduction (Residual),Total Deduction,Net Payable,Check(G-D-N)
April,316867144,32486770,54690488,87177258,229689886,0
May,310647661,30088280,48457147,78545427,232102234,0
June,298950541,30629155,35382693,66011848,232938693,0
July,306826844,31418169,34313745,65731914,241094930,0
August,304681042,31404047,36107462,67511509,237169533,0
September,306057502,33628736,31938789,65567525,240489977,0
October,317815696,32273333,43276495,75549828,242265868,0
November,310340997,30683500,39967319,70650819,239690178,0
December,326109995,32221116,36985094,69206210,256903785,0
January,328287458,32522161,36276381,68798542,259488916,0
February,334109163,33577543,42923930,76501473,257607690,0
March,339305976,33133743,42641977,75775720,263530256,0
GRAND TOTAL,3800000019,384066553,482961520,867028073,2932971946,0
In Rs crore,380.0,38.41,48.3,86.7,293.3,
