SNo,State,DemandID,CaseID,CaseType,FY,IssueDate,DueDate,IGST,CGST,SGST,Interest,Penalty,LateFee,TotalDemand,AppealDeposited,FinalStatus,OrderStatus,Description,ISPLNotes,WayForward,Remarks,StatusAsOnDate
1,Delhi,ZD0703260518466,AD0709250320266,APL-01 (Appeal Filed),2019-20,,2026-03-25,0,2530889,2530889,5466720,5061778,0,15590276,506178,Active,Appeal Filed,SCRUTINY OF RETURN FY-2019-20,"REPLY DETAILS ANNEXURE FILED ONLINE ON 22/10/2025,no DRC-07 issued till date",DRC-07 ISSUED TO FILE APPEAL,APPEAL FILED STATUS PENDING,
2,Delhi,ZD070824017152N,AD070524056836R,DRC-07 (Sec 73),2019-20,,2024-07-14,130091,12634437,12634437,21330955,2546888,0,49276808,,Active,WRIT FILED AT HIGH CRT,AUDIT SCRUTINY FY-2019-20,WRIT FILED IN HIGH COURT BY ARCHANA MAAM,writ filed  and it can be settled outside the court,WRIT FILED AT HIGH CRT,
3,Delhi,ZD070326038075I,AD0703260199702,DRC-01 (Sec 74),2021-22,,2026-04-20,,,,13398,,,13398,,Closed,Completed,LATE FILING RETURN INTEREST-2021-22,,,PAID THRU DRC-03 _AD070426009271E ( DRC07_DROP ORDER_ZD070626013691F DT.10/06/2026 ISSUED),
4,Delhi,ZD070225002579G,35/2024-25,DRC-07 (Sec 74 - DGGI),2017-18,2025-02-02,2025-03-02,9140005,18665716,18665716,,46471437,,92942874,,Active,WRIT FILED AT HIGH CRT,,,,DELHI HIGH COURT DIARY No 4003818/2025 _WP© DT.02-06-2026,
5,Delhi,ZD070225002581V,35/2024-25,DRC-07 (Sec 74 - DGGI),2019-20,2025-02-02,2025-03-02,,11259137,11259137,,22518274,,45036548,,Active,WRIT FILED AT HIGH CRT,,,,DELHI HIGH COURT DIARY No 4003818/2025 _WP© DT.02-06-2026,
6,Delhi,ZD0712250834287,AD0707250169402,APL-01 (Appeal Filed),2021-22,,2026-03-28,0,31373,31373,42888,20000,0,125634,6274,Active,Appeal Filed,GST Scrutiny Audit-2021-22,"ONLINE REPLY DRC-06 FILED dt.29/07/2025 with details enclosed, DRC-07 issued  dt.30/12/2025",RECTIFICATION REQUEST FILED DT 31/12/2025 AGAINST DRC-07 TO PROTECT ANY PROCEEDINGS,"APPEAL FILED,STATUS PENDING",
7,Haryana,ZD0612230350316,AD0606230066763,APL-01 (Appeal Filed),2017-18,,2024-03-31,19833242,9235140,9235140,55355808,3639814,32950,97332094,3830353,Active,WRIT FILED AT HIGH CRT,In response towards the reply Against DRC-01 (APL-01 REJECTED & APL-04 ISSUED ),GRIVIANCE FILED FOR RE-CONSIDIRATION AGAINST APL-4 (APPEAL REJECTION) dt.07/01/2025,GRIVIANCE FILED FOR RE-CONSIDIRATION AGAINST APL-4 (APPEAL REJECTION) dt.07/01/2025,HIGH COURT FOR THE STATES OF PUNJAB AND HARYANA AT CHANDIGARH _DIARY NO [Miscellaneous - CWP] APB20240004142C202600008 DT.02-06-2026,
8,Haryana,ZD060225011119V,AD060824008203G,APL-01 (Appeal Filed),2017-18,,2024-09-06,6671519,0,0,8060657.93,6671519.6,0,21403696.53,667152,Active,Appeal Filed,Cancel dealer ITC Calim of rs. 6671519/- RK Traders ( APPEAL FILED),APPEAL FILED  ON DT.08/04/2025 WITH APPEAL AMT DEPOSITED ( APL-2 ISSUED),Appeal filed awaitng for next process by Dept.,"APPEAL FILED  (Cancel dealer ITC Calim of rs. 6671519/- RK Traders) ,STATUS PENDING",
9,Haryana,ZD060824000468F/ZD060125033178N,AD060824000225I,Enforcement Case,2017-18,,2024-08-29,18807080,0,0,0,18807080,0,37614160,,Active,Reply Filed,Cancel dealer ITC Calim of M/S Dhanaasha Infracon_FY-2017-18,,,"REPLY FILED WITH DRC-03 PAYMENT AND RECTIFICATION FILED AGAINST THE DEMAND URGENT ACTION REQUIRED (DOUBLE SCN BY DGGI AND STATE DEPT. ON M/S.DHANAASHA INFRACON ),CONDONATION APPEAL TO FILE",
10,Haryana,ZD0612250705787,AD0606250204096,DRC-07 (Sec 74),2018-19,,2025-12-30,,,,65130,,,65130,,Active,Reply Filed,Cancel dealer ITC Calim of rs. 723975/ OF HEMU OVERSEAS,,,TAX AMOUNT SETTLED  BUT INTREST PENDING AS THIS IS A DGGI MATTER_ITC Calim of rs. 723975/ OF HEMU OVERSEAS,
11,Haryana,ZD061225065921F,AD0606250262755,APL-01 (Appeal Filed),2018-19,,2026-01-30,86220,0,0,0,86220,0,172440,8622,Active,Appeal Filed,Cancel dealer ITC Calim of rs. 86220/- RADHEY ENTERPRISES -2018-19,( RECTIFICATION AGAINST ORDER  FILED) DT.08-01-2026,HAD A MEETING  WITH AC/ EAST-2 CGST GGN ON 21/01/2026 WILL VISIT AGAIN TO REVIEW ON THIS MATTER,APPEAL FILED (Cancel dealer ITC Calim of IGST RS. 86220/ OF RADHEY ENTERPRISES-07BZEPG9648C1IE) STATUS PENDING,
12,Haryana,ZD060225038336K,AD061124011756D,APL-01 (Appeal Filed),2020-21,,2025-03-30,342579,139853,139853,486099,112228,1619290,2839902,62230,Active,Appeal Filed,SCRUTINY OF RETURN FY-2020-21 (APPEAL FILED),DRC-07 ORDER ISSUED AGAINST OUR REPLY FILED .Appeal _APL-01 FILED DT.28/06/25 WITH DEPOSITED AMT.62230/- no APL-04 issued till date,Appeal filed awaitng for next process by Dept.,APPEAL-2 TO FILE ON GSTAT URGENTLY BY 30/06/2026 (SHARED IN GROUP COURT FEES RS.25000/- DEPOSITED FOR GSTAT ) PENDING @ DISHANT JI,
13,Haryana,ZD060925054064D,AD060425016525A,GST AUDIT,2021-22,,2025-10-29,12987,30594,30594,98546,,0,172721,,Closed,Reply Filed,SCRUTINY OF RETURN  GST AUDIT FY-2021-22,,,DRC-01 TO PAY AS PER ADT-2 FINAL DEMAND PAID RS.172721/- THRU DRC-03 DT.09/10/25 (Closed order passed),
14,Haryana,ZD060425033442Q/ ZD060526036133O,AD0604250165268,DRC-01 (Sec 73),2022-23,2026-05-27,2026-06-26,,253585,253585,2164280,50716,0,2722166,,Active,Reply Pending,SCRUTINY OF RETURN  GST AUDIT,,,ADT-2 REPLY FILED ON 27/06/2026 as per review  BY DISHANT JI,REPLY DRAFT SENT TO DISHANT JI FOR APPROVAL ON 17/06/26 THRU WHATTSAAP
15,Haryana,ZD060825031852B / ZD060526036222P,AD060425016524C,DRC-01 (Sec 73),2023-24,2026-05-27,2026-06-26,375079,281010,281010,1632850,93708,,2663657,,Active,Reply Pending,SCRUTINY OF RETURN  GST AUDIT,,,ADT-2 REPLY FILED ON 27/06/2026 as per review  BY DISHANT JI,
