M13 Rule-Application Statistics (Rule M13: PF = 12% on BASIC+DA)
Month,Active_Employees,RuleA_12pct_BDA,RuleB_day_adj,RuleB_lift_to_att,RuleB_lift_to_OD,NET_drift,GROSS_up_OD_route,Exceptions
Apr-25,18794,2355,111,3,0,0,0,0
May-25,18774,2443,197,0,0,0,0,0
Jun-25,18754,2547,1143,0,0,0,0,0
Jul-25,18905,2577,974,3,0,0,0,0
Aug-25,18626,2520,1103,3,0,0,0,0
Sep-25,18830,2671,1055,1,0,0,0,1
Oct-25,18699,2606,211,0,1,0,1,0
Nov-25,18986,2928,211,636,0,0,0,0
Dec-25,19460,3192,217,664,3,0,3,0
Jan-26,19624,3286,841,341,0,0,0,0
Feb-26,19649,3349,770,311,2,0,2,1
Mar-26,20279,3378,848,406,0,0,0,0
TOTAL,229380,33852,7681,2368,6,0,6,2
