MONTH,GR1_gap (Σrevised-Σecr_capped),GR1_max_per_row_gap,C3_12pct_violations,CAP1_PF>1800,CAP5_BASIC>15000,C10_PFrow_proj>15000,P2_notInECR_proj<15000,P2_atCeiling_15000_exceptions,C9_days_out_of_range
APR-24,0.0,0.0,0,0,0,0,0,0,0
MAY-24,0.0,0.0,0,0,0,0,0,0,0
JUN-24,0.0,0.0,0,0,0,0,0,4,0
JUL-24,0.0,0.0,0,0,0,0,0,1,0
AUG-24,0.0,0.0,0,0,0,0,0,0,0
SEP-24,0.0,0.0,0,0,0,0,0,0,0
OCT-24,0.0,0.0,0,0,0,0,0,1,0
NOV-24,0.0,0.0,0,0,0,0,0,0,0
DEC-24,0.0,0.0,0,0,0,0,0,1,0
JAN-25,0.0,0.0,0,0,0,0,0,0,0
FEB-25,0.0,0.0,0,0,0,0,0,2,0
MAR-25,0.0,0.0,0,0,0,0,0,1,0
