MONTH,ROWS,ORIG_SALARY_PF,ECR_PF_FILED,ECR_PF_CAPPED (anchor),REVISED_PF,PF_GAP (rev-capped),ABOVE_1800_SURPLUS,PF_PARKED_IN_OTHER_DED
APR-24,1757.0,2584327.64,2402823.28,2379009.52,2379009.52,0.0,23636.04,205318.12
MAY-24,1713.0,2534768.88,2379619.64,2350265.6,2350265.6,0.0,25872.0,184503.28
JUN-24,1818.0,2667491.76,2513706.16,2477027.92,2477027.92,0.0,26059.32,190463.84
JUL-24,1820.0,2710675.4,2552089.96,2522985.64,2522985.64,0.0,28756.32,187689.76
AUG-24,1820.0,2802253.32,2631886.52,2597426.0,2597426.0,0.0,30803.76,204827.32
SEP-24,1825.0,2756165.72,2589092.68,2545659.32,2545659.32,0.0,32835.36,210506.4
OCT-24,1799.0,2812260.2,2650968.04,2614187.2,2614187.2,0.0,33583.32,198073.0
NOV-24,1811.0,2630461.08,2475529.88,2442236.48,2442236.48,0.0,31577.64,188224.6
DEC-24,1745.0,2691269.32,2547338.48,2516762.84,2516762.84,0.0,29212.8,174506.48
JAN-25,1831.0,2753833.52,2607369.16,2576860.56,2576860.56,0.0,30397.6,176972.96
FEB-25,1820.0,2798222.44,2645120.28,2613353.4,2613353.4,0.0,31766.88,184869.04
MAR-25,1792.0,2780937.84,2626793.6,2593909.52,2593909.52,0.0,32884.08,187028.32
TOTAL,21551.0,32522667.12,30622337.68,30229684.0,30229684.0,0.0,357385.12,2292983.12
