MONTH,EMPLOYEES,MATCHED_IN_ECR,NOT_IN_ECR,ORIG_SALARY_PF,ECR_PF_FILED,REVISED_PF_=_ECR_CAPPED,PF_GAP,ABOVE_1800_SURPLUS,PF_PARKED_OTHER_DED,BELOW15K_ECR0_TOTAL,BELOW15K_ECR0_FULLATT_GAP
APR-24,1757,1625,130,2584328,2402823,2379010,0,23636,205318,92,33
MAY-24,1713,1602,107,2534769,2379620,2350266,0,25872,184503,71,21
JUN-24,1818,1702,107,2667492,2513706,2477028,0,26059,190464,65,19
JUL-24,1820,1703,116,2710675,2552090,2522986,0,28756,187690,78,18
AUG-24,1820,1700,112,2802253,2631887,2597426,0,30804,204827,70,27
SEP-24,1825,1701,115,2756166,2589093,2545659,0,32835,210506,70,30
OCT-24,1799,1691,103,2812260,2650968,2614187,0,33583,198073,68,3
NOV-24,1811,1707,102,2630461,2475530,2442236,0,31578,188225,78,47
DEC-24,1745,1648,95,2691269,2547338,2516763,0,29213,174506,69,45
JAN-25,1831,1726,103,2753834,2607369,2576861,0,30398,176973,78,26
FEB-25,1820,1716,104,2798222,2645120,2613353,0,31767,184869,81,28
MAR-25,1792,1690,102,2780938,2626794,2593910,0,32884,187028,69,35
TOTAL,21551,20211,1296,32522667,30622338,30229685,0,357385,2292982,889,332
