MONTH,REGISTER_EMPLOYEES,ESIC_WAGES,ESI_EMP_FILED(0.75%),ESI_CO_FILED(3.25%),ESI_TOTAL_FILED,ABOVE_21000_ROWS,ESI_COVERAGE_GAPS(<=21k not filed),IN_ESIC_NOT_IN_SALARY
APR-24,1532.0,22006016.55,165735.0,715195.54,880930.54,86.0,48.0,8.0
MAY-24,1492.0,21516404.79,162122.0,699283.16,861405.16,59.0,55.0,9.0
JUN-24,1546.0,22659225.64,170679.0,736424.83,907103.83,50.0,74.0,8.0
JUL-24,1554.0,22917978.97,172602.0,744834.32,917436.32,52.0,70.0,7.0
AUG-24,1534.0,23349486.88,175874.0,758858.32,934732.32,51.0,61.0,9.0
SEP-24,1533.0,22468543.85,169262.0,730227.68,899489.68,48.0,85.0,8.0
OCT-24,1513.0,23389549.78,176139.0,760160.37,936299.37,79.0,58.0,6.0
NOV-24,1546.0,21771617.69,164085.0,707577.57,871662.57,48.0,62.0,17.0
DEC-24,1455.0,22090349.2,166360.0,717936.35,884296.35,72.0,67.0,5.0
JAN-25,1535.0,22436923.53,169052.0,729200.01,898252.01,43.0,58.0,5.0
FEB-25,1529.0,22912287.68,172634.0,744649.35,917283.35,44.0,58.0,4.0
MAR-25,1492.0,22550960.0,169840.0,732906.2,902746.2,58.0,54.0,5.0
TOTAL,18261.0,270069344.56,2034384.0,8777253.7,10811637.7,690.0,750.0,91.0
