MONTH,below15k_ecr0,part_days,full_attendance_GAP,PF_parked_partdays,PF_parked_fullGAP
APR-24,92.0,59.0,33.0,59156.0,49760.0
MAY-24,71.0,50.0,21.0,57347.0,31793.0
JUN-24,65.0,46.0,19.0,55745.0,28987.0
JUL-24,78.0,60.0,18.0,61108.0,27416.0
AUG-24,70.0,43.0,27.0,47602.0,41664.0
SEP-24,70.0,40.0,30.0,46439.72,46268.0
OCT-24,68.0,65.0,3.0,90882.0,3960.0
NOV-24,78.0,31.0,47.0,36524.0,74052.0
DEC-24,69.0,24.0,45.0,24154.0,70866.0
JAN-25,78.0,52.0,26.0,57122.0,40599.0
FEB-25,81.0,53.0,28.0,67152.0,43785.0
MAR-25,69.0,34.0,35.0,39044.0,54936.0
TOTAL,889.0,557.0,332.0,642275.72,514086.0
