MONTH,COL#,COLUMN,SUM
Apr-25,1,MONTH,19161
Apr-25,2,ATTENDANCEDATE,0
Apr-25,3,MONTHATTENDANCEID,16315857492
Apr-25,4,BONUS_PAYINMONTHYEAR,106954031
Apr-25,5,BRANCHCODE,0
Apr-25,6,BRANCHNAME,0
Apr-25,7,CLIENTGROUPNAME,0
Apr-25,8,CUSTOMERLOCATIONCODE,3140591
Apr-25,9,SITECODE,57417189
Apr-25,10,SITENAME,0
Apr-25,11,SITESTATE,0
Apr-25,12,EMPOLDCODE,441247307793
Apr-25,13,EMPMASTERID,1129510387
Apr-25,14,EMPCODE,441247307793
Apr-25,15,FULLNAME,0
Apr-25,16,DOJ,0
Apr-25,17,DOB,0
Apr-25,18,GENDER,0
Apr-25,19,FATHER NAME,0
Apr-25,20,DESIGNATIONID,11318996
Apr-25,21,DESIGNATIONNAME,0
Apr-25,22,GROUPMASTERID,45519100
Apr-25,23,GROUP,0
Apr-25,24,DUTYID,38993
Apr-25,25,DUTYNAME,0
Apr-25,26,PF WAGES,200788652
Apr-25,27,ESI WAGES,197434734
Apr-25,28,NORMALDAYS,437955.98330190184
Apr-25,29,WEEKLYOFF,1281
Apr-25,30,PAIDHOLIDAY,0
Apr-25,31,FESTIVALHOLIDAY,425.5
Apr-25,32,OTDAYS,9142.4375
Apr-25,33,OTHOURS,45713.58999933241
Apr-25,34,SPLOTDAYS,0
Apr-25,35,SPLOTHOURS,37
Apr-25,36,PL_AVAILED,531
Apr-25,37,CL_AVAILED,108
Apr-25,38,SL_AVAILED,27
Apr-25,39,FIXED_BASIC,212364574.74
Apr-25,40,FIXED_DA,9853424
Apr-25,41,FIXED_HRA,24990682.83999999
Apr-25,42,FIXED_CONVEYENCE,913757
Apr-25,43,FIXED_WASHING ALLOWANCE,3342754.5199999996
Apr-25,44,FIXED_OTHER ALLOWANCE,9041196
Apr-25,45,FIXED_OVERTIME,93525
Apr-25,46,FIXED_LEAVE WITH WAGES,10431021.879999999
Apr-25,47,FIXED_EX-GRATIA,0
Apr-25,48,FIXED_CCA,6602
Apr-25,49,FIXED_EDUCATIONAL ALLOWANCE,134733
Apr-25,50,FIXED_MEDICAL ALLOWANCE,27100
Apr-25,51,FIXED_PAID HOLIDAY,2845
Apr-25,52,FIXED_SPL ALLOWANCE,1406285.6699999995
Apr-25,53,FIXED_GRATUITY,12271
Apr-25,54,FIXED_BONUS,6950228.229999922
Apr-25,55,FIXED_ATTIRE,6022
Apr-25,56,FIXED_MEAL,1010.35
Apr-25,57,FIXED_LTA,64529
Apr-25,58,FIXED_SITE ALLOWANCE,1672115
Apr-25,59,FIXED_PERFORMANCE ALLOWANCE,0
Apr-25,60,FIXED_RELIEVING CHARGES,3347
Apr-25,61,FIXED_MOBILE ALLOWANCE,5636
Apr-25,62,FIXED_INCENTIVE ALLOWANCE,662889
Apr-25,63,FIXED_UNIFORM COST,500
Apr-25,64,FIXED_FOOD ALLOWANCE,0
Apr-25,65,FIXED_ADDITIONAL ALLOWANCE,31556
Apr-25,66,FIXED_VEHICLE REIMB,0
Apr-25,67,FIXED_MOBILE REIMB,5000
Apr-25,68,FIXED_TRANSPORT ALLOWANCE,0
Apr-25,69,FIXED_NATIONAL HOLIDAY,86874
Apr-25,70,FIXED_FIXED CONVENYANCE,7000
Apr-25,71,FIXED_SERVICE WEIGHTAGE,58957
Apr-25,72,FIXED_VARIABLE / PERFORMANCE LINKED INCENTIVE,25467
Apr-25,73,FIXED_ATTENDACE AWARD,184286
Apr-25,74,FIXEDGROSS,282386189.22999567
Apr-25,75,BASIC,201825633
Apr-25,76,DA,8218107
Apr-25,77,HRA,20661923
Apr-25,78,CONVEYENCE,14210290
Apr-25,79,WASHING ALLOWANCE,19320998
Apr-25,80,OTHER ALLOWANCE,7572277
Apr-25,81,OVERTIME,63223
Apr-25,82,LEAVE WITH WAGES,8088114
Apr-25,83,EX-GRATIA,0
Apr-25,84,CCA,6532
Apr-25,85,EDUCATIONAL ALLOWANCE,134720
Apr-25,86,MEDICAL ALLOWANCE,25594
Apr-25,87,PAID HOLIDAY,2718
Apr-25,88,SPL ALLOWANCE,1356734
Apr-25,89,GRATUITY,11898
Apr-25,90,BONUS,5464585
Apr-25,91,ATTIRE,5536444
Apr-25,92,MEAL,1010
Apr-25,93,LTA,5165123
Apr-25,94,SITE ALLOWANCE,1666360
Apr-25,95,PERFORMANCE ALLOWANCE,0
Apr-25,96,RELIEVING CHARGES,2566
Apr-25,97,MOBILE ALLOWANCE,5539
Apr-25,98,INCENTIVE ALLOWANCE,562317
Apr-25,99,UNIFORM COST,6224171
