MONTH,REVISED GROSS,REVISED TOTAL DEDUCTION,REVISED NET PAYABLE,GROSS - TOTAL DED,DIFF vs NET (should be ~0)
Apr-25,365832092,136142388.08999917,229689886,229689703.91,-182.09
May-25,364261857,132159682.87999971,232102234,232102174.12,-59.88
Jun-25,355006653,122068192.97999887,232938693,232938460.02,-232.98
Jul-25,344517733,103407487.21999885,241110478,241110245.78,-232.22
Aug-25,343680767,106511205.41000019,237169533,237169561.59,28.59
Sep-25,344315883,103824270.96999803,240491977,240491612.03,-364.97
Oct-25,355149797,112884108.30999906,242265868,242265688.69,-179.31
Nov-25,344843305,105153427.95999832,239690178,239689877.04,-300.96
Dec-25,365959707,109056118.05999915,256903785,256903588.94,-196.06
Jan-26,392964100,133475247.30999981,259488916,259488852.69,-63.31
Feb-26,394970396,137362900.67,257607690,257607495.33,-194.67
Mar-26,405050371,141520334.10999984,263530256,263530036.89,-219.11
