MONTH,ROWS IN SHEET,REVISED BASIC,REVISED DA,REVISED ATTENDANCE ALLOWANCE,HRA,CONVEYANCE,WASHING ALLOWANCE,OTHER ALLOWANCE,OVERTIME,LEAVE WITH WAGES,EX-GRATIA,CCA,EDUCATIONAL ALLOWANCE,MEDICAL ALLOWANCE,PAID HOLIDAY,SPL ALLOWANCE,GRATUITY,BONUS,ATTIRE,MEAL,LTA,SITE ALLOWANCE,PERFORMANCE ALLOWANCE,RELIEVING CHARGES,MOBILE ALLOWANCE,INCENTIVE ALLOWANCE,UNIFORM COST,FOOD ALLOWANCE,ADDITIONAL ALLOWANCE,VEHICLE REIMB,MOBILE REIMB,TRANSPORT ALLOWANCE,NATIONAL HOLIDAY ALW,FIXED CONVEYANCE,SERVICE WEIGHTAGE,VARIABLE/PERF INCENTIVE,ATTENDANCE AWARD,OT AMOUNT (EARNED),WEEKLY OFF,BASIC DA ARREARS,OTHER ARREARS,EXTRA OT,TRAVELLING ALLOWANCE,PAID LEAVE,NATIONAL/FESTIVAL HOLIDAY,ATTENDANCE ALW,FESTIVAL HOLIDAY,GROSS AMT (AS PER SHEET),REVISED GROSS,PF (REVISED),ESIC (REVISED),PT,LWF,UNIFORM,ADVANCE,TDS,EMPLOYEE WELFARE FUND,FOOD DEDUCTION,MOBILE DEDUCTION,PROFESSIONAL FEES,INSURANCE DEDUCTION,FINE,ACCOMODATION,INSURANCE,FLEXI DED,FOOD DEDUCTIONS,CONVEYANCE ALL DED,LAUNDRY CHARGES,MEAL DEDUCTION,REFYNE ADVANCE,OTHER DEDUCTION (REVISED),REVISED TOTAL DEDUCTION,REVISED NET PAYABLE,ORIGINAL NETPAYABLE,NET Δ (ORIG-REVISED)
Apr-25,19161,211416551,8218107,146197433,20661923,14210290,19320998,7572277,63223,8088114,0,6532,134720,25594,2718,1356734,11898,5464585,5536444,1010,5165123,1666360,0,2566,5539,562317,6224171,0,30125,9102898,4812133,12360431,77704,7000,50370,24195,142345,781684,0,0,0,8880,11019069,0,0,3106862,0,353468810,365832092,22980428,1447434,631048,105724,0,2259506,78140,143570,1475597,0,0,11540,0,0,42503,25219,568098,16500,0,0,0,119421893.08999904,136142388.08999917,229689886,229689886,0
May-25,19328,209473186,8731670,146057004,20934505,15600635,11551586,8163052,39900,7885720,0,6602,133876,28470,17588,1357146,12456,5585996,5443748,1010,5125301,1674468,0,3347,4569,658831,6056085,0,31595,9155518,4742545,12426009,5888,7000,52347,27147,145332,757951,0,0,0,3240,10835137,0,0,2771545,0,349035850,364261857,22977657,1466653,668331.5,108019,0,1634530,36500,140980,1571758,0,0,10283,0,0,42384,27469,569292,18871,0,0,0,119329476.34999965,132159682.87999971,232102234,232102234,0
Jun-25,18934,199200144,9203092,146603417,21747547,22672974,17852390,16842822,103740,16513906,0,12864,270252,57350,59880,2782462,23174,11610858,4932910,2280,5159886,3361236,0,6026,10874,1578082,5528508,0,62730,9694670,4544986,16017920,11900,14000,102638,60824,288508,1776124,0,0,0,6000,10956018,0,0,4935340,0,318734469,355006653,23319453,1558822,657648,170475,0,1681009,39300,142650,1635062,0,0,10062,0,0,40636,26435,575768,19500,0,0,0,98198961.18999952,122068192.97999887,232938693,232938693,0
Jul-25,19163,205332249,9465366,129720116,22510630,11249760,9006417,8461987,38613,8601088,0,6543,132820,27403,48376,1385615,9657,6002394,2334526,1140,2360992,1657615,0,2699,5886,882757,2705308,0,31271,4402370,2131269,7887373,18181,7000,50358,32027,144686,700282,0,0,0,3120,5323215,0,0,3237913,0,324186466,344517733,23982900,1524007,681437.5,117332,0,1616467,39300,144280,1667607,0,0,9864,0,0,38367,27024,578770,19500,0,0,0,79769063.21999906,103407487.21999885,241110478,241110478,0
Aug-25,19428,200916392,9706687,133057688,22602763,10812073,9034413,8728914,39900,8904238,0,6489,132023,25275,120160,1366819,9557,6109300,1864085,1140,1887411,1662493,0,1835,4386,1090418,2197826,0,31651,3046920,1659007,7338309,18397,7000,46704,39831,145037,592134,0,0,0,3120,4724722,0,0,2757085,0,315903331,343680767,23833745,1512147,680314.5,116862,0,1414084,39300,144510,1633068,0,0,11921,0,0,38274,26867,572469,20516,0,0,0,81165313.68000032,106511205.41000019,237169533,237169533,0
Sep-25,19206,204438669,10103095,129774119,23085899,10545052,8683510,8942477,39235,9249331,0,6532,131716,21100,118575,1339734,9785,6261997,1990766,0,2182976,1630132,0,0,5120,1244714,2276484,0,30922,3477816,1826036,7374842,18229,7000,46762,42091,147533,801366,0,0,0,3360,4771603,0,0,2773869,0,321403130,344315883,24402372,1541389,691456,119523,15464,3227413,39300,144880,1572157,0,0,10556,0,0,38314,27445,580603,22350,0,0,0,77880509.96999891,103824270.96999803,240491977,240491977,0
Oct-25,19785,204369750,10700467,140079580,22647118,10917280,9193050,9113692,39900,9297420,0,6602,129010,19002,116267,1389481,9355,6282294,1756330,0,1767305,1671131,0,0,4386,1277135,2089269,0,31420,2913563,1588743,7552617,34224,7000,46238,80349,143064,894698,0,0,0,3720,4713026,0,0,7061810,0,323296962,355149797,24286578,1535460,702917,116280,6000,2201181,30300,141590,1554680,0,0,9758,0,0,40975,27686,573772,22742,0,0,0,87062070.57999913,112884108.30999906,242265868,242265868,0
Nov-25,19297,203279779,11257174,130306315,22866397,899866,2883686,9024470,39900,9282551,0,6602,130528,22331,119600,1435187,9647,6252841,0,0,65291,1657123,0,0,4386,1315485,1300,0,25727,6200,8895,4882,34339,7000,47579,77693,135263,917887,0,0,0,3360,0,0,0,2611464,0,314254587,344843305,23861498,1508310,687847,113477,500,1453179,30300,140940,1568629,0,0,12498,0,0,45887,25524,587026,24000,0,0,0,79783619.95999847,105153427.95999832,239690178,239690178,0
Dec-25,19800,213956102,13147843,138855752,24541814,901385,2824938,9597879,39900,10080478,0,5622,130444,23728,119202,1485145,11148,6839059,0,0,65666,1650613,0,0,4386,1317910,1293,0,31867,6200,8912,5370,34429,7000,48612,76874,141083,1097987,0,0,0,0,0,0,0,3485653,0,333147717,365959707,25136852,1577611,723248,212900.25,3400,1391392,37300,143710,1554401,0,0,13643,0,0,45668,26321,567874,22452,0,0,0,82341655.05999915,109056118.05999915,256903785,256903785,0
Jan-26,20364,214225091,13286862,165452143,24996268,12745088,9521892,9993605,39900,10207309,0,5099,130419,21620,96624,1480982,8650,6937781,4493257,0,4328285,1626347,0,1599,6636,1363183,5116048,0,31907,7250601,3929155,10697634,35499,7000,56251,74047,147391,1010925,0,0,0,3480,9350641,0,0,2456175,0,365733353,392964100,25669090,1605107,715246,120160,12400,1309237,55600,144240,1572568,0,0,12364,0,0,45181,26961,509680,24532,0,0,0,106201050.30999982,133475247.30999981,259488916,259488916,0
Feb-26,19862,212714442,13838731,168417220,25497693,13232885,9721816,10347031,36339,10370940,0,5723,128554,20038,106976,1524359,10228,6999573,4912138,0,4696905,1563942,0,0,4975,1320400,5437443,0,30754,7776485,4164012,11237918,33667,7000,58099,107654,138908,1227957,0,0,0,2640,9765849,0,0,2171622,0,372555573,394970396,25462898,1570879,865325,121626,2000,2384173,61100,145020,1594900,0,0,23571,0,0,48874,25250,508437,25821,0,0,0,110329123.86999916,137362900.67,257607690,257607690,0
