MONTH,ROWS IN SHEET,REVISED GROSS,REVISED GROSS NEW,PF (REVISED),ESIC (REVISED),PT,LWF,UNIFORM,ADVANCE,TDS,EMPLOYEE WELFARE FUND,FOOD DEDUCTION,MOBILE DEDUCTION,PROFESSIONAL FEES,INSURANCE DEDUCTION,FINE,ACCOMODATION,INSURANCE,FLEXI DED,FOOD DEDUCTIONS,CONVEYANCE ALL DED,LAUNDRY CHARGES,MEAL DEDUCTION,REFYNE ADVANCE,OTHER DEDUCTION (REVISED),REVISED TOTAL DEDUCTION,REVISED NET PAYABLE,ORIGINAL NETPAYABLE,NET Δ (ORIG-REVISED),OT AMOUNT,OT ESIC,NET OT,FESTIVAL HOLIDAY AMOUNT,FESTIVAL HOLIDAY ESIC,FESTIVAL HOLIDAY NET,NATIONAL/PAID HOLIDAY AMOUNT,NATIONAL/PAID HOLIDAY ESIC,NATIONAL/PAID HOLIDAY NET
Apr-25,19161,365832092,307258776.66666716,22980428,1447434,631048,105724,0,2259506,78140,143570,1475597,0,0,11540,0,0,42503,25219,568098,16500,0,0,0,119421893.08999904,136142388.08999917,229689886,229689886,0,8659813,50363,8609450,380478,2053,378425,0,0,0
May-25,19328,364261857,294937932.3500036,22977657,1466653,668331.5,108019,0,1634530,36500,140980,1571758,0,0,10283,0,0,42384,27469,569292,18871,0,0,0,119329476.34999965,132159682.87999971,232102234,232102234,0,10285500,59464,10226036,296417,1470,294947,423008,2372,420636
Jun-25,18934,355006653,311862253.68666464,23319453,1558822,657648,170475,0,1681009,39300,142650,1635062,0,0,10062,0,0,40636,26435,575768,19500,0,0,0,98198961.18999952,122068192.97999887,232938693,232938693,0,9356342,48178,9308164,40714,295,40419,0,0,0
Jul-25,19163,344517733,300370600.33333236,23982900,1524007,681437.5,117332,0,1616467,39300,144280,1667607,0,0,9864,0,0,38367,27024,578770,19500,0,0,0,79769063.21999906,103407487.21999885,241110478,241110478,0,9215588,49027,9166561,10709,0,10709,0,0,0
Aug-25,19428,343680767,302404123.66665995,23833745,1512147,680314.5,116862,0,1414084,39300,144510,1633068,0,0,11921,0,0,38274,26867,572469,20516,0,0,0,81165313.68000032,106511205.41000019,237169533,237169533,0,10273319,57226,10216093,395162,2226,392936,2113336,13407,2099929
Sep-25,19206,344315883,302377397.6666592,24402372,1541389,691456,119523,15464,3227413,39300,144880,1572157,0,0,10556,0,0,38314,27445,580603,22350,0,0,0,77880509.96999891,103824270.96999803,240491977,240491977,0,9037742,49337,8988405,37824,124,37700,0,0,0
Oct-25,19785,355149797,313230126.9999951,24286578,1535460,702917,116280,6000,2201181,30300,141590,1554680,0,0,9758,0,0,40975,27686,573772,22742,0,0,0,87062070.57999913,112884108.30999906,242265868,242265868,0,11096958,1021,11095937,894289,799,893490,2070171,100,2070071
Nov-25,19297,344843305,306692287.66666085,23861498,1508310,687847,113477,500,1453179,30300,140940,1568629,0,0,12498,0,0,45887,25524,587026,24000,0,0,0,79783619.95999847,105153427.95999832,239690178,239690178,0,9933729,58087,9875642,208710,1155,207555,82054,550,81504
Dec-25,19800,365959707,322259850.33332634,25136852,1577611,723248,212900.25,3400,1391392,37300,143710,1554401,0,0,13643,0,0,45668,26321,567874,22452,0,0,0,82341655.05999915,109056118.05999915,256903785,256903785,0,9976679,58506,9918173,736171,4593,731578,0,0,0
Jan-26,20364,392964100,330412276.3333276,25669090,1605107,715246,120160,12400,1309237,55600,144240,1572568,0,0,12364,0,0,45181,26961,509680,24532,0,0,0,106201050.30999982,133475247.30999981,259488916,259488916,0,10871491,62410,10809081,308795,2021,306774,2209831,13586,2196245
Feb-26,19862,394970396,334720607.9999961,25462898,1570879,865325,121626,2000,2384173,61100,145020,1594900,0,0,23571,0,0,48874,25250,508437,25821,0,0,0,110329123.86999916,137362900.67,257607690,257607690,0,9031192,52409,8978783,15441,127,15314,245590,1680,243910
Mar-26,20749,405050371,340340458.9999894,25844828,1618156,728379,119453,15200,1607024,68500,150510,1592349,0,0,17369,0,0,44694,24006,500355,27000,0,0,0,114057350.10999942,141520334.10999984,263530256,263530256,0,10721231,58791,10662440,859215,5277,853938,3973,0,3973
TOTAL FY 2025-26,235077,4376552661,3766866692.7,291758299,18465975,8433197.5,1541831.25,54964,22179195,554940,1726880,18992776,0,0,153429,0,0,511757,316207,6692144,263784,0,0,0,1155540087.39,1443565363.97,2932989494,2932989494,0,118459584,604819,117854765,4183925,20140,4163785,7147963,31695,7116268
