SUMMARY COLUMN,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25,Jan-26,Feb-26,Mar-26
REVISED GROSS,REVISED_GROSS,REVISED_GROSS,REVISED_GROSS,REVISED_GROSS,REVISED_GROSS,REVISED_GROSS,REVISED_GROSS,REVISED_GROSS,REVISED_GROSS,REVISED_GROSS,REVISED_GROSS,REVISED_GROSS
REVISED GROSS NEW,REVISED_GROSS_NEW (final),REVISED_GROSS_NEW (final),REVISED_GROSS_NEW (final),REVISED_GROSS_NEW (final),REVISED_GROSS_NEW (final),REVISED_GROSS_NEW (final),REVISED_GROSS_NEW (final),REVISED_GROSS_NEW (final),REVISED_GROSS_NEW (final),REVISED_GROSS_NEW,REVISED_GROSS_NEW,REVISED_GROSS_NEW
PF (REVISED),REVISED_PF,REVISED_PF,REVISED_PF,REVISED_PF,REVISED_PF,REVISED_PF,REVISED_PF,REVISED_PF,REVISED_PF,REVISED_PF,REVISED_PF,REVISED_PF
ESIC (REVISED),ESIC.1,ESIC.1,ESIC.1,ESIC.1,REVISED_ESIC,REVISED_ESIC,REVISED_ESIC,REVISED_ESIC,REVISED_ESIC,REVISED_ESIC,REVISED_ESIC,REVISED_ESIC
PT,PT.1,PT.1,PT,PT,PT,PT,PT,PT,PT,PT,PT,PT
LWF,LWF.1,LWF.1,LWF,LWF,LWF,LWF,LWF,LWF,LWF,LWF,LWF,LWF
UNIFORM,UNIFORM,UNIFORM,UNIFORM,UNIFORM,UNIFORM,UNIFORM,UNIFORM,UNIFORM,UNIFORM,UNIFORM,UNIFORM,UNIFORM
ADVANCE,ADVANCE.1,ADVANCE.1,ADVANCE,ADVANCE,ADVANCE,ADVANCE,ADVANCE,ADVANCE,ADVANCE,ADVANCE,ADVANCE,ADVANCE
TDS,TDS.1,TDS.1,TDS,TDS,TDS,TDS,TDS,TDS,TDS,TDS,TDS,TDS
EMPLOYEE WELFARE FUND,EMPLOYEE WELFARE FUND.1,EMPLOYEE WELFARE FUND.1,EMPLOYEE WELFARE FUND,EMPLOYEE WELFARE FUND,EMPLOYEE WELFARE FUND,EMPLOYEE WELFARE FUND,EMPLOYEE WELFARE FUND,EMPLOYEE WELFARE FUND,EMPLOYEE WELFARE FUND,EMPLOYEE WELFARE FUND,EMPLOYEE WELFARE FUND,EMPLOYEE WELFARE FUND
FOOD DEDUCTION,FOOD DEDUCTION.1,FOOD DEDUCTION.1,FOOD DEDUCTION,FOOD DEDUCTION,FOOD DEDUCTION,FOOD DEDUCTION,FOOD DEDUCTION,FOOD DEDUCTION,FOOD DEDUCTION,FOOD DEDUCTION,FOOD DEDUCTION,FOOD DEDUCTION
MOBILE DEDUCTION,MOBILE DEDUCTION,MOBILE DEDUCTION,MOBILE DEDUCTION,MOBILE DEDUCTION,MOBILE DEDUCTION,MOBILE DEDUCTION,MOBILE DEDUCTION,MOBILE DEDUCTION,MOBILE DEDUCTION,MOBILE DEDUCTION,MOBILE DEDUCTION,MOBILE DEDUCTION
PROFESSIONAL FEES,PROFESSIONAL FEES,PROFESSIONAL FEES,PROFESSIONAL FEES,PROFESSIONAL FEES,PROFESSIONAL FEES,PROFESSIONAL FEES,PROFESSIONAL FEES,PROFESSIONAL FEES,PROFESSIONAL FEES,PROFESSIONAL FEES,PROFESSIONAL FEES,PROFESSIONAL FEES
INSURANCE DEDUCTION,INSURANCE DEDUCTION.1,INSURANCE DEDUCTION.1,INSURANCE DEDUCTION,INSURANCE DEDUCTION,INSURANCE DEDUCTION,INSURANCE DEDUCTION,INSURANCE DEDUCTION,INSURANCE DEDUCTION,INSURANCE DEDUCTION,INSURANCE DEDUCTION,INSURANCE DEDUCTION,INSURANCE DEDUCTION
FINE,FINE,FINE,FINE,FINE,FINE,FINE,FINE,FINE,FINE,FINE,FINE,FINE
ACCOMODATION,ACCOMODATION,ACCOMODATION,ACCOMODATION,ACCOMODATION,ACCOMODATION,ACCOMODATION,ACCOMODATION,ACCOMODATION,ACCOMODATION,ACCOMODATION,ACCOMODATION,ACCOMODATION
INSURANCE,INSURANCE.1,INSURANCE.1,INSURANCE,INSURANCE,INSURANCE,INSURANCE,INSURANCE,INSURANCE,INSURANCE,INSURANCE,INSURANCE,INSURANCE
FLEXI DED,FLEXI DED.1,FLEXI DED.1,FLEXI DED,FLEXI DED,FLEXI DED,FLEXI DED,FLEXI DED,FLEXI DED,FLEXI DED,FLEXI DED,FLEXI DED,FLEXI DED
FOOD DEDUCTIONS,FOOD DEDUCTIONS.1,FOOD DEDUCTIONS.1,FOOD DEDUCTIONS,FOOD DEDUCTIONS,FOOD DEDUCTIONS,FOOD DEDUCTIONS,FOOD DEDUCTIONS,FOOD DEDUCTIONS,FOOD DEDUCTIONS,FOOD DEDUCTIONS,FOOD DEDUCTIONS,FOOD DEDUCTIONS
CONVEYANCE ALL DED,CONVEYANCE ALL DED.1,CONVEYANCE ALL DED.1,CONVEYANCE ALL DED,CONVEYANCE ALL DED,CONVEYANCE ALL DED,CONVEYANCE ALL DED,CONVEYANCE ALL DED,CONVEYANCE ALL DED,CONVEYANCE ALL DED,CONVEYANCE ALL DED,CONVEYANCE ALL DED,CONVEYANCE ALL DED
LAUNDRY CHARGES,LAUNDRY CHARGES,LAUNDRY CHARGES,LAUNDRY CHARGES,LAUNDRY CHARGES,LAUNDRY CHARGES,LAUNDRY CHARGES,LAUNDRY CHARGES,LAUNDRY CHARGES,LAUNDRY CHARGES,LAUNDRY CHARGES,LAUNDRY CHARGES,LAUNDRY CHARGES
MEAL DEDUCTION,MEAL DEDUCTION,MEAL DEDUCTION,MEAL DEDUCTION,MEAL DEDUCTION,MEAL DEDUCTION,MEAL DEDUCTION,MEAL DEDUCTION,MEAL DEDUCTION,MEAL DEDUCTION,MEAL DEDUCTION,MEAL DEDUCTION,MEAL DEDUCTION
REFYNE ADVANCE,REFYNE ADVANCE,REFYNE ADVANCE,REFYNE ADVANCE,REFYNE ADVANCE,REFYNE ADVANCE,REFYNE ADVANCE,REFYNE ADVANCE,REFYNE ADVANCE,REFYNE ADVANCE,REFYNE ADVANCE,REFYNE ADVANCE,REFYNE ADVANCE
OTHER DEDUCTION (REVISED),OTHER_DEDUCTION,OTHER_DEDUCTION,OTHER_DEDUCTION,OTHER_DEDUCTION,REVISED_OTHER_DEDUCTION,REVISED_OTHER_DEDUCTION,REVISED_OTHER_DEDUCTION,REVISED_OTHER_DEDUCTION,REVISED_OTHER_DEDUCTION,REVISED_OTHER_DEDUCTION,REVISED_OTHER_DEDUCTION,REVISED_OTHER_DEDUCTION
REVISED TOTAL DEDUCTION,REVISED_TOTAL_DED,REVISED_TOTAL_DED,REVISED_TOTAL_DED,REVISED_TOTAL_DED,REVISED_TOTAL_DED,REVISED_TOTAL_DED,REVISED_TOTAL_DED,REVISED_TOTAL_DED,REVISED_TOTAL_DED,REVISED_TOTAL_DED,REVISED_TOTAL_DED,REVISED_TOTAL_DED
REVISED NET PAYABLE,REVISED_NET_PAYABLE,REVISED_NET_PAYABLE,REVISED_NET_PAYABLE,REVISED_NET_PAYABLE,REVISED_NET_PAYABLE,REVISED_NET_PAYABLE,REVISED_NET_PAYABLE,REVISED_NET_PAYABLE,REVISED_NET_PAYABLE,REVISED_NET_PAYABLE,REVISED_NET_PAYABLE,REVISED_NET_PAYABLE
OT AMOUNT,OT_M,OT_M,OT_M,OT_M,OT_M,OT_M,OT_M,OT_M,OT_M,OT_M,OT_M,OT_M
OT ESIC,OTESIC,OTESIC,OTESIC,OTESIC,OTESIC,OTESIC,OTESIC,OTESIC,OTESIC,OTESIC,OTESIC,OTESIC
NET OT,OTNET,OTNET,OTNET,OTNET,OTNET,OTNET,OTNET,OTNET,OTNET,OTNET,OTNET,OTNET
FESTIVAL HOLIDAY AMOUNT,FHAMOUNT,FHAMOUNT,FHAMOUNT,FHAMOUNT,FHAMOUNT,FHAMOUNT,FHAMOUNT,FHAMOUNT,FHAMOUNT,FHAMOUNT,FHAMOUNT,FHAMOUNT
FESTIVAL HOLIDAY ESIC,FHESIC,FHESIC,FHESIC,FHESIC,FHESIC,FHESIC,FHESIC,FHESIC,FHESIC,FHESIC,FHESIC,FHESIC
FESTIVAL HOLIDAY NET,FHNET,FHNET,FHNET,FHNET,FHNET,FHNET,FHNET,FHNET,FHNET,FHNET,FHNET,FHNET
NATIONAL/PAID HOLIDAY AMOUNT,PHAMOUNT,PHAMOUNT,PHAMOUNT,PHAMOUNT,PHAMOUNT,PHAMOUNT,PHAMOUNT,PHAMOUNT,PHAMOUNT,PHAMOUNT,PHAMOUNT,PHAMOUNT
NATIONAL/PAID HOLIDAY ESIC,PHESIC,PHESIC,PHESIC,PHESIC,PHESIC,PHESIC,PHESIC,PHESIC,PHESIC,PHESIC,PHESIC,PHESIC
NATIONAL/PAID HOLIDAY NET,PHNET,PHNET,PHNET,PHNET,PHNET,PHNET,PHNET,PHNET,PHNET,PHNET,PHNET,PHNET
