MONTH,SALARY SHEET REVISED_PF (all rows),12%-basic / MW-floor lift vs ECR-matched basis (skill: ECR <= Revised),REVISED PF (ECR-matched),Matching residual (EE − matched),ECR PF matched in salary (EE),BACK OFFICE (ECR),ECR-only (not in salary),TOTAL PF AS PER ECR (EE),Check (EE+BO+only − Total)
Apr-25,22980428.0,81524,22898904,60009,22958913,286145,9101,23254159,0
May-25,22977657.0,54050,22923607,10992,22934599,311829,6131,23252559,0
Jun-25,23319453.0,45595,23273858,12371,23286229,302776,6229,23595234,0
Jul-25,23982900.0,348213,23634687,310419,23945106,316353,11092,24272551,0
Aug-25,23833745.0,39881,23793864,16398,23810262,332333,12953,24155548,0
Sep-25,24402372.0,55422,24346950,5974,24352924,349252,14962,24717138,0
Oct-25,24286578.0,61115,24225463,5165,24230628,355302,34681,24620611,0
Nov-25,23861498.0,65500,23795998,5947,23801945,362125,30066,24194136,0
Dec-25,25136852.0,63756,25073096,4457,25077553,368032,35729,25481314,0
Jan-26,25669090.0,141981,25527109,60694,25587803,383052,13726,25984581,0
Feb-26,25462898.0,61523,25401375,10075,25411450,364033,82343,25857826,0
Mar-26,25844828.0,95624,25749204,5831,25755035,397142,32622,26184799,0
TOTAL FY 2025-26,291758299,1114184,290644115,508332,291152447,4128374,289635,295570456,0
"SKILL COMPLIANCE (verified row-level on all 235,082 consol rows):"
1. REVISED_PF = ECR_PF anchor on EVERY row; zero rows carry PF without an ECR anchor.
"2. Employee-level reco: zero amount-mismatches where both sides have PF; only 3 employees have salary PF missing from ECR - Jun-25, Rs.4,196 (MALEK MAHMADRAFIK 1,518 / NALLOLLA KUMAR 1,236 / PURRA MANIKYAM 1,442) - flagged for review."
"3. Column C is NOT unmatched PF: it is the deliberate 12%-basic / minimum-wage-floor lift applied 03-Jul (after the 02-Jul reco snapshot). Per the skill: ECR <= Revised, excess absorbed in Other Deduction, NET unchanged."
"4. Both bases correct: 22,980,428 (Apr) = final sheets after 12% fix; 22,958,913 (Apr) = ECR EE matched basis."
