SITESTATE,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25,Jan-26,Feb-26,Mar-26,FY TOTAL
HARYANA,51961960.0,52952440.0,54551276.0,56635359.0,56407706.0,57790286.0,56032640.0,54694417.0,57158128.0,57978729.0,58556182.0,57908184.0,672627307.0
UTTAR PRADESH,32756246.0,34675704.0,33457867.0,36257081.0,35797158.0,38117331.0,38224765.0,37351675.0,47157412.0,45449554.0,42436853.0,44318092.0,465999738.0
DELHI,35347838.0,34134298.0,35275300.0,36312077.0,34162862.0,34583093.0,35066894.0,35597292.0,37004590.0,39452580.0,39026827.0,39525914.0,435489565.0
WEST BENGAL,28075646.0,29001274.0,29863662.0,30993965.0,31715022.0,30237571.0,32324389.0,32060828.0,32066035.0,32182924.0,31931885.0,31998994.0,372452195.0
MAHARASHTRA,25672922.0,25065406.0,26031674.0,26667054.0,27633154.0,28798186.0,30448577.0,29303717.0,29921118.0,30016367.0,30688011.0,31167193.0,341413379.0
TELANGANA,8077373.0,8596165.0,8879144.0,9004146.0,7400974.0,7568219.0,7350542.0,7492046.0,10757997.0,10591872.0,11053371.0,10910501.0,107682350.0
KARNATAKA,7997862.0,8280146.0,8036841.0,8003876.0,7797514.0,7931033.0,8126381.0,8158991.0,8240716.0,8802895.0,9128994.0,8993340.0,99498589.0
RAJASTHAN,6997454.0,7271125.0,7524972.0,7380986.0,6942357.0,6805558.0,6758979.0,7178540.0,6826905.0,7246281.0,7179242.0,8234306.0,86346705.0
ASSAM,9714566.0,8124863.0,5892021.0,5916339.0,5889210.0,5765759.0,5755449.0,5731856.0,5146306.0,5009167.0,5866087.0,8248559.0,77060182.0
ORISSA,3566105.0,3598831.0,3556506.0,3611727.0,3570499.0,3501961.0,3646861.0,3508871.0,3519013.0,3538027.0,3376544.0,3599087.0,42594032.0
PUNJAB,2110882.0,2288914.0,2267061.0,2388446.0,2594182.0,2654171.0,2822026.0,2884298.0,2807267.0,2890116.0,2967830.0,3143887.0,31819080.0
UTTARAKHAND,2396174.0,2501061.0,2362198.0,2418535.0,2357592.0,2341962.0,2350307.0,2535513.0,2668821.0,2708388.0,2653272.0,2717487.0,30011310.0
GUJARAT,2386337.0,2475180.0,2661578.0,2722965.0,2518439.0,2328592.0,2348872.0,2444772.0,2506026.0,2543962.0,2420259.0,2287901.0,29644883.0
MADHYA PRADESH,2190019.0,2322367.0,2341212.0,2452171.0,2422935.0,2350623.0,2419584.0,2401359.0,2572736.0,2638537.0,1943085.0,1934423.0,27989051.0
ANDHRA PRADESH,2786427.0,2839710.0,2773743.0,2967936.0,2967824.0,2545305.0,1499886.0,1125043.0,1123282.0,1106774.0,988514.0,1068648.0,23793092.0
TAMIL NADU,1614326.0,1596637.0,1759399.0,1834267.0,1924422.0,2012432.0,2050737.0,2003891.0,2016388.0,1979517.0,2030354.0,2033850.0,22856220.0
BIHAR,2127932.0,2778650.0,1917806.0,1633565.0,1067160.0,1090650.0,879924.0,1120082.0,1101479.0,1081477.0,1111387.0,1174345.0,17084457.0
CHANDIGARH,1169766.0,1177519.0,1245538.0,1304806.0,1350819.0,1351203.0,1350429.0,1345838.0,1492676.0,1510044.0,1464069.0,1464487.0,16227194.0
HIMACHAL PRADESH,1547740.0,1196469.0,1262110.0,1303123.0,1302114.0,1287930.0,1321649.0,1295139.0,1347329.0,1335621.0,1335233.0,1395481.0,15929938.0
JHARKHAND,1055993.0,1080228.0,1115579.0,1115724.0,1157065.0,1208379.0,1253019.0,1238858.0,1261690.0,1233901.0,1254852.0,1213573.0,14188861.0
MIZORAM,48972.0,48972.0,48972.0,48972.0,48972.0,48961.0,48972.0,48972.0,48972.0,48972.0,48972.0,48972.0,587653.0
JAMMU & KASHMIR,0.0,8581.0,26615.0,33283.0,48883.0,65456.0,64416.0,66566.0,66566.0,64419.0,66566.0,64419.0,575770.0
KERALA,48335.0,48683.0,48683.0,49516.0,53659.0,49521.0,49333.0,42044.0,32853.0,32363.0,32863.0,32175.0,520028.0
CHATTISGARH,13724.0,13724.0,13709.0,13724.0,13724.0,40387.0,55829.0,44162.0,44132.0,46429.0,46438.0,46438.0,392420.0
GOA,15128.0,15128.0,15068.0,15128.0,15128.0,15408.0,15408.0,15408.0,15348.0,0.0,0.0,0.0,137152.0
TRIPURA,10159.0,10159.0,10159.0,10159.0,10159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50795.0
